Полиця/категорія,#,Артикул,Назва,Ціна,Залишок,"Виручка,грн"
Спінінги і вудки / Фіерні вудочки,1,4625,Фідер Weida Focus (m1515) 60-180 3.60m,1310,1,18160
Спінінги і вудки / Фіерні вудочки,2,308,"Фідер KAIDA IMPULSE-II(м636)60-160 3,0",715,2,15760
Спінінги і вудки / Фіерні вудочки,3,2096-360,Фідер IDOL AFEIMA 40-120G ART2096-360,1400,3,14000
Спінінги і вудки / Фіерні вудочки,4,307,"Фідер KAIDA IMPULSE-II(м636)60-160 2,7",645,4,13150
Спінінги і вудки / Фіерні вудочки,5,2093-360,Фідер PREMACYX AFEIMA 200G ART2093-360,1500,2,9000
Спінінги і вудки / Фіерні вудочки,6,4624,Фідер Weida Focus (m1515) 60-180 3.30m,1260,1,7560
Спінінги і вудки / Фіерні вудочки,7,1200,Фідер KLD SUPER 360 50-150G,720,1,7200
Допоміжні снасті / Садки ,1,2785,"Садок з ручками на застібці прогум. сітка  1,500см",500,4,29000
Допоміжні снасті / Садки ,2,3022734,Садок Carp Line Black 3.0m ж. кіл. прогум.ж.с різьба регулювання під кілок,1070,1,17280
Допоміжні снасті / Садки ,3,3022735,Садок Carp Line Black 3.5m ж. кіл. прогум.ж.с різьба регулювання під кілок,1180,2,12420
Допоміжні снасті / Садки ,4,3022736,"Садок Carp Line Black 2,5m ж. кіл. прогум.ж.с різьба регулювання під кілок",1010,2,11240
Допоміжні снасті / Садки ,5,3349,"Садок відро прогум.сітка 0,75мм круглий 45см",285,6,10920
Зима / Зимові вудки,1,2688,Жерлиця Профмонтаж  оснащена,75,86,36320
Зима / Зимові вудки,2,3519,"Жерлиця Щука,котушка з стопором ,оснащена (зелена)",75,63,18570
Зима / Зимові вудки,3,2684,"Вудочка ПВХ ""Харків""",24,1,10224
Зима / Зимові вудки,4,3701,"Набір Жерлиць (сумка ,10жер)оснащені",780,1,7620
Зима / Зимові вудки,5,56,Жерлиця Профмонтаж не оснащена,60,96,7100
Прикормка / Прикормка,1,0199,"Прикорм ""БОМБА"" 1кг",42,130,61156
Прикормка / Прикормка,2,2255,Прикормка Тигровий горіх Robin 1 кг,240,1,16440
Спінінги і вудки / Вудилища махові,1,2788,"Вудочка Джокер Marline Prinsses 5,4м",260,9,24600
Спінінги і вудки / Вудилища махові,2,4710,"Вудочка  ""Осінній лист"" 5,4м",960,4,16480
Спінінги і вудки / Вудилища махові,3,2100,Вудка Джокер Tiger  3.60,140,3,11780
Спінінги і вудки / Вудилища махові,4,4711,"Вудочка  ""Осінній бамбук"" 6,3м",980,1,9800
Спінінги і вудки / Вудилища махові,5,1038,Вудочка Джокер SHARK 540 10-30G,250,3,9500
Катушки  / Спінінгові,1,1693.71.04,Катушка Select Master 2500s 4+1bb 5.5:1,755,1,20760
Катушки  / Спінінгові,2,1693.71.00,Катушка Select Master 1500S 4+1bb 5.5:1,680,1,20580
Катушки  / Спінінгові,3,2114,Котушка HAIBAO FISHING J3-40FR (9+1 BB) з бейтранером,900,1,16380
Катушки  / Спінінгові,4,1850,Катушка  Ryobi Amazon 2000Vi,1700,2,12600
Волосінь Шнури Повіці / Шнур,1,4282,Шнур Sapfir X4 Drew 150m,120,44,16200
Волосінь Шнури Повіці / Шнур,2,2090,Шнур MAX POWER 4X BOYA BY 150м асортимент,125,17,15750
Волосінь Шнури Повіці / Шнур,3,1416,Шнур MASTER PE*4 150M SELECT BOYA BY,100,13,12900
Волосінь Шнури Повіці / Шнур,4,2336,Шнур на метр,4,545,11640
Волосінь Шнури Повіці / Шнур,5,2208,Шнур X8  AFEIMA асортимент,210,37,9660
Спінінгова ловля  / Тел-спіннер,1,GL17-30,Грушка латунь,50,105,31726
Спінінгова ловля  / Тел-спіннер,2,GK 16-30,Грушка кольорова флуоресентна,50,74,18780
Спінінгова ловля  / Тел-спіннер,3,3661,Лижа флуоресцентна асорт 10-30гр,75,47,14700
Туризм і відпочинок / Сушарки для риб і Раколовки,1,258,Пастка садок 8-ть,220,16,24380
Туризм і відпочинок / Сушарки для риб і Раколовки,2,1285,Сушка для риб 45*45 3 полиці,285,9,17950
Туризм і відпочинок / Сушарки для риб і Раколовки,3,2786,Пастка садок 6-ть,190,32,10060
Туризм і відпочинок / Сушарки для риб і Раколовки,4,256,Пастка садок 12-ть,240,1,9600
Зима / Льодобур,1,2698,Льодоруб Житомирский,1650,1,50740
Зима / Льодобур,2,4595,"Пешня трьохгранна сталь 45 з держаком 1,30м",1750,2,10500
INTERKRIL / Прикормка,1,67,Прикорм Крилевая мука 100г Antarctic Kril Meal 1ящ=70шт,78,10,29044
INTERKRIL / Прикормка,2,66,Прикорм Крилевая мука 500г Antarctic Kril Meal,285,7,22430
INTERKRIL / Прикормка,3,3804,Прикормка  INTERKRIL Преміум Карась  Часник-Чебрець,105,13,6835
